date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:26:06	6696/6696	---M--	200	added ('OK')	application/octet-stream	date:Fri,%2010%20Mar%202023%2014:02:46%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic-ext.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic-ext.woff2	(from https://www.classcentral.com/)
21:26:06	9540/9540	---M--	200	added ('OK')	application/octet-stream	date:Fri,%2010%20Mar%202023%2014:02:46%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic.woff2	(from https://www.classcentral.com/)
21:26:07	7360/7360	---M--	200	added ('OK')	application/octet-stream	date:Fri,%2010%20Mar%202023%2014:04:33%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek-ext.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek-ext.woff2	(from https://www.classcentral.com/)
21:26:07	8280/8280	---M--	200	added ('OK')	application/octet-stream	date:Fri,%2010%20Mar%202023%2014:04:33%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek.woff2	(from https://www.classcentral.com/)
21:26:07	5676/5676	---M--	200	added ('OK')	application/octet-stream	date:Fri,%2010%20Mar%202023%2014:02:46%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-vietnamese.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-vietnamese.woff2	(from https://www.classcentral.com/)
21:26:07	14808/14808	---M--	200	added ('OK')	application/octet-stream	date:Fri,%2010%20Mar%202023%2014:04:33%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin-ext.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin-ext.woff2	(from https://www.classcentral.com/)
21:26:08	15764/15764	---M--	200	added ('OK')	application/octet-stream	date:Fri,%2010%20Mar%202023%2014:02:46%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin.woff2	(from https://www.classcentral.com/)
21:26:08	990/990	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Mar%202023%2014:04:33%20GMT	https://www.classcentral.com/images/fade-gradient.png	C:/My%20Web%20Sites/classcentral/www.classcentral.com/images/fade-gradient.png	(from https://www.classcentral.com/)
21:26:11	50234/50234	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2010%20Jan%202023%2021:29:14%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/classcentral/www.google-analytics.com/analytics.js	(from https://www.classcentral.com/)
21:26:11	601927/601927	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2002:26:09%20GMT	https://www.classcentral.com/rankings	C:/My%20Web%20Sites/classcentral/www.classcentral.com/rankings.html	(from https://www.classcentral.com/)
21:26:11	594669/594669	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2002:26:10%20GMT	https://www.classcentral.com/collections	C:/My%20Web%20Sites/classcentral/www.classcentral.com/collections.html	(from https://www.classcentral.com/)
21:26:12	577189/577189	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2002:26:11%20GMT	https://www.classcentral.com/subjects	C:/My%20Web%20Sites/classcentral/www.classcentral.com/subjects.html	(from https://www.classcentral.com/)
21:26:13	897949/897949	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2002:26:12%20GMT	https://www.classcentral.com/subject/cs	C:/My%20Web%20Sites/classcentral/www.classcentral.com/subject/cs.html	(from https://www.classcentral.com/)
21:26:13	7740/7740	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Sun,%2012%20Mar%202023%2002:26:12%20GMT	https://www.classcentral.com/subject/maths	C:/My%20Web%20Sites/classcentral/www.classcentral.com/subject/maths	(from https://www.classcentral.com/)
21:26:13	849102/849102	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2002:26:12%20GMT	https://www.classcentral.com/subject/health	C:/My%20Web%20Sites/classcentral/www.classcentral.com/subject/health.html	(from https://www.classcentral.com/)
21:26:13	7753/7753	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Sun,%2012%20Mar%202023%2002:26:13%20GMT	https://www.classcentral.com/subject/business	C:/My%20Web%20Sites/classcentral/www.classcentral.com/subject/business	(from https://www.classcentral.com/)
